Zfp42
Tfcp2l1
Klf2
Klf4
Esrrb
Tbx3
Tet2
Nr0b1
Nr5a2
Tcl1
Prdm14
Nid1
Nanog
Prdm14
Tbx15
Sfrp1
Klf8
Klf15
Sosc3
Bhlhe40
Tdgf1
A2m
Bcl3
Fzd5
Nptx2
Pou2f3
Grhl3
H2afx
Upp1
Junb
Id1
Fbxo2
Pou5f1
Tet1
Dppa5a
Dppa4
Nr4a1
Rest
Tcf15
Piwil2
Fgf4
Dppa3
Tfrc
Kit
Fbxo15
Ddit3
B2m
