Calhm6
1600015I10Rik
Gm11238
Ccser1
Zfp54
Rbmx2
Sfi1
Plekho2
Ska2
Acap3
Slc31a1
Hmgn3
Cd74
Tgfbr1
Gm2694
Tbcc
Arl2bp
Obox3
Tmem184c
Usp26
Gusb
Arl4a
Gm5127
Rbm15
Esyt1
Gm6803
Pnp
Cxcl16
Fabp9
Gm16973
Reg3b
1700013H16Rik
Sva
Gm15694
Efnb2
Sowaha
Hs6st2
Sesn2
BB287469
BC147527
Tmem206
Rimklb
Rfpl4b
Pde12
Enox2
Ppp1r15a
Gm5662
2610206C17Rik
Dcc
Stk26
Cdkn2c
Cdkn2d
Klf4
Tsc22d3
Nell1
Sertad1
Gm8300
Ugt2b36
Gm11756
Spdye4b
Zfp560
Ephb1
Olfr376
Pif1
Thap11
4933401D09Rik
Ankrd22
Gm8994
Apom
Antxr1
6720489N17Rik
Plk2
Gm5039
Tob1
Tob2
Gm11413
Zfp352
Sac3d1
Trabd2b
Gpr50
Nrarp
Zfp217
Gm13083
Gm12789
Tcaf2
Gm7102
1700029F12Rik
Gm11544
Slc35e3
Gm20767
Tex11
Micall1
Trim69
Hspa1b
Hspa1a
Zfp105
Nmb
Duoxa2
Zfp760
Tnfrsf12a
Fbxl12
Gm13128
Pramef17
Ppp1r2-ps7
Frg2f1
Snai1
Gm21761
Zfy2
Ero1l
Zfp599
Topors
Ficd
Limch1
AA543401
Mid1ip1
G2e3
Klrg2
Rad9b
Cpd
AW011738
Hesx1
Bambi
Tmem132c
Fgf7
Fgf1
Arl4d
Snapc2
Fzd4
Fzd7
Lrp12
2610020C07Rik
Fbxo16
Lbp
Klhl11
Slc22a28
Gm16222
Olfr815
Pin1rt1
Pramef6
Sugct
Zfp867
D030056L22Rik
Gm9125
Tchh
Rsbn1l
4933404O12Rik
Slc30a1
Wdr44
Slc16a1
Dubr
Gadd45a
Arsk
Bag5
Atp4b
4921531C22Rik
Tbxa2r
Syna
Cbln1
Srf
Gm11487
B930095G15Rik
Stk40
Zfp703
Zfp707
Plk3
AF067061
AF067063
E2f7
Mum1l1
Gid4
Mbd5
Gm4971
Cldn9
Cptp
Csrnp3
Lipo3
Tmed5
Parp10
Yy2
Lmx1a
Ppp1r8
Urml
Ints6
Pcdh10
Pabpn1
9430038I01Rik
Oat
Tdpoz1
Hexim1
Prokr2
Stk17b
Hspa2
Fam83d
Zfp809
Rnf225
Gm13078
BC080695
1700093K21Rik
BC005537
Pramef25
Tktl1
Lysmd1
Gm2016
Klb
Ercc4
Zscan4b
Zscan4c
Zscan4a
Zscan4d
Ier5
Lpar6
1700013G24Rik
Pld6
Adm
Nfat5
Perm1
Usp32
AU015228
Echdc3
Tnfaip6
Gm4850
Gm4858
Ubap1
A630072M18Rik
Tacr3
P3h1
Zrsr1
Rpp25
Gm21319
Mapkapk2
Gm2022
Tmem92
Ttc30b
Gt(ROSA)26Sor
Arid5a
Gm38407
Usp50
Gm10696
Gpatch3
Zfp954
Gm8016
Colq
Ddit4l
1700019M22Rik
Gm12794
B020031M17Rik
Aste1
Kctd12
Cd24a
Zfp791
Prex2
Nicn1
Zic3
Synm
Usp17lc
Usp17lb
Usp17la
Usp17le
Usp17ld
Fundc1
Lin9
Ap4e1
Utp14b
Tcstv3
Tcstv1
Ccnjl
