State (Emission order)	h3k36me3	h3k4me3	h3k27ac	h3k4me1	h3k27me3	h3k9me3
1	0.011542025651963215	0.005946569595717867	0.014035924927357552	0.15914859753134925	9.904644428073957E-7	0.0069304634719441205
2	0.008988091073328321	0.0050858980457971865	0.013461022196779094	0.00976794110789711	1.5287236281084451E-4	0.0052596864589719815
3	0.009088118839539406	0.020996414321780035	0.15068430465460894	0.029324056029551727	5.912469813675223E-5	0.006791530141740366
4	0.005712636665898837	0.009967992770024256	0.13969955030890902	0.005980337654407469	1.2602686944978323E-8	0.0076564608524694044
5	0.023070404640403854	0.2352662314688002	0.14597384358889567	0.007532806566696494	0.005669527910831046	0.029030599529811654
6	0.0024329755069880396	6.924195519053005E-4	8.234511697306768E-5	4.7342101114718915E-4	0.025406612990016238	0.6889543350082057
7	0.005560608727302186	0.0020013335895717296	6.638488597446395E-4	0.002756455515057233	0.01031920943131253	0.13264543871660278
8	8.126173288053357E-4	4.3773396815113645E-4	2.455260950687098E-5	4.701143688379323E-4	4.163381410862652E-4	0.002888169619207928
9	0.004731735022559432	0.0026221458007367636	5.099733002946761E-4	0.003546349537269688	4.5548000776494474E-4	0.004421286008797725
10	0.13631145162691705	0.005557683273105475	1.6144978167483668E-4	7.476458458928642E-4	0.0011238864517048443	0.008380471908589779
11	0.001960308394136196	6.892422008213042E-4	3.405332327031655E-5	5.247249164946278E-4	0.002463217485963795	0.0019157737792633237
12	7.448880731481634E-4	0.0023849961913286035	4.738975615509842E-4	0.004670628819254697	0.566796812943967	0.13393658779988718
