State (Emission order)	h3k4me1	h3k36me3	h3k27ac	h3k4me3	h3k27me3	h3k9me3
1	2.2238444874965343E-4	2.712016401110373E-4	3.7694655832221045E-5	8.972607877114904E-5	0.03323841249444424	0.02765190002821489
2	5.689407630689952E-5	1.0088700892758171E-4	4.480805970786131E-6	4.3280418926016326E-5	5.844983966702322E-4	0.001531417161128671
3	6.509238261471963E-5	1.8738656389586284E-4	1.508442712366754E-6	4.535672575071742E-5	0.004862411384642043	0.13404535832581668
4	4.7607388487256734E-5	1.2596306432717741E-4	5.3039467990465396E-6	3.829383563357571E-5	3.1486533984247437E-4	0.012673565800956502
5	0.0029971005097290423	0.0022203400815229476	0.0012588051255199495	4.452194235903112E-4	2.491783932512973E-4	0.039698754105984786
6	1.6057577197407647E-7	0.0016130016294929647	1.2378934815996543E-5	8.23580922028462E-4	1.401878307684785E-4	7.057656179206024E-4
7	0.004083385868319946	0.021800333100800203	6.581021469985119E-4	7.6199238810111E-4	7.530827316381061E-5	0.0010426361321610286
8	0.026276694853297918	0.007337263327144131	0.0029329818249218408	0.0037260134019370546	6.817903222398986E-5	0.0015021265783644881
9	0.3455432160719774	0.01572762382453405	0.004471052488278587	0.007262547638251139	2.765695186692219E-4	0.002758992424421577
10	0.0639235769795057	0.0012635273983213487	0.006129205358564928	9.437127431140772E-4	0.007044176649150793	0.001519482958393491
11	0.11542988130246605	0.014105474402327341	0.11752362561419538	0.03376067663264832	8.669345543831129E-4	0.0060119753694848005
12	0.010075739393138296	0.006881230347638253	0.012135396739684548	0.14596145588261217	0.0011555568471258877	0.008087610935559712
