State (Emission order)	h3k36me3	h3k4me1	h3k27ac	h3k4me3	h3k9me3	h3k27me3
1	0.018371347842234497	0.024706090982943747	0.007697164967260218	0.11211942231743731	0.0014113726083130954	0.00425959916978718
2	0.003820784581766661	0.0032938930023811	2.2464796445490357E-4	0.005460680753256235	0.0013984537074731114	0.004256352534177242
3	3.9545376864296854E-4	5.8862606564946945E-5	1.8823816511165987E-5	6.521396802626188E-4	6.825794727058882E-4	0.002448003346083902
4	0.0010386408123668081	2.32171802815529E-4	8.902123247243868E-6	0.0011921869499776064	0.002930488888046818	0.006791828367331756
5	0.00833021779369866	0.006703058155971542	8.37550517462585E-4	0.00472710104652286	0.008901363192504778	0.05422825732663206
6	0.0018435423636237163	4.2317821528995835E-4	2.241014293825583E-39	0.0018411885466070612	0.030463961581645164	0.8232487770859912
7	0.002328261738556755	4.733934636537767E-4	1.5031725394846926E-4	0.001303991630514457	0.9073651486571881	0.29899073749215477
8	0.8840311689520579	0.005594739999346819	1.3485354633595376E-9	0.009111241142633248	0.0026382580212786794	0.003531126796905077
9	0.9142797546557756	0.7342349064433352	0.01729901250296815	0.009187060184841465	3.35901894346371E-4	0.004391137167031071
10	0.014064930676244673	0.015784044101151584	0.0024102916868961465	0.003979753660334844	0.0011940010640393531	7.300951464030183E-4
11	0.02316438875205132	0.16351137060174434	0.0039947940436931536	0.014857724705112058	0.004933999589793216	0.014030026455891425
12	0.042165746387827344	0.05541810322277097	0.22092536748062647	0.014437355756879435	0.0027189167194895648	0.0018457220621200204
