State (Emission order)	h3k27me3	h3k9me3	h3k27ac	h3k4me1	h3k36me3	h3k4me3
1	0.21897844762710889	0.7766807744749487	8.190605301410703E-5	2.469424900425162E-4	5.478454400486246E-17	2.4320802778875426E-196
2	0.0037035087231445506	0.005255205258150126	2.22100596019978E-17	4.235978820801793E-5	7.964868396993862E-5	4.064195875879123E-5
3	9.430069620016396E-4	6.878465394480023E-4	9.17241914242925E-6	6.422401412696654E-5	1.0162650378180691E-4	4.222516821812858E-5
4	0.06088771797891055	0.001016326393926984	5.61354161110299E-5	2.0998284162205164E-4	2.919233348418428E-4	9.481180811749073E-5
5	7.057764484822437E-4	4.3908836869424367E-4	1.797649762088654E-4	3.4279624312216656E-7	0.0011627483607234575	2.653171351078973E-4
6	8.551471676924976E-5	1.3663114688119215E-4	4.974000183022376E-4	0.0023858264931316086	0.016009825087074925	6.568345513277235E-4
7	3.8250881795016706E-4	4.3484067259752697E-4	0.0033312428939869807	0.01336358412919034	0.0063587517544345775	0.002474159047855365
8	1.9931786639775022E-4	1.7235377803778462E-4	0.007973357522734767	0.2681837970085899	0.008455228117397854	0.005588832018578272
9	0.0041577398787363525	0.00103684767353291	0.005640759135843271	0.18019535655004762	0.0015237722816030038	0.0012323028424243952
10	0.0027339088942319816	0.0012116318265907168	0.2439453337149009	0.2494858021242075	0.009284019956364792	0.03329891325631351
11	0.0016682770766351124	9.681066140441421E-4	0.029705732281154803	0.06389668296146206	0.0076467701664822176	0.19262419398297842
12	0.0032406311502217755	0.0010656452886676818	0.02518310565946861	0.0012353815906950478	0.0023998426481058573	0.141994292855677
