12	6	E	-4364909.638343936	200
emissionprobs	1	4	h3k4me3	1	0.7998666022868841
emissionprobs	1	5	h3k9me3	0	0.994157212599425
emissionprobs	1	5	h3k9me3	1	0.005842787400575009
emissionprobs	2	0	h3k27ac	0	0.5684992245918483
emissionprobs	2	0	h3k27ac	1	0.4315007754081516
emissionprobs	2	1	h3k27me3	0	0.9969381098480232
emissionprobs	2	1	h3k27me3	1	0.0030618901519767774
emissionprobs	2	2	h3k36me3	0	0.38712382532504824
emissionprobs	2	2	h3k36me3	1	0.6128761746749518
emissionprobs	2	3	h3k4me1	0	0.3174329042527356
emissionprobs	2	3	h3k4me1	1	0.6825670957472645
emissionprobs	2	4	h3k4me3	0	0.10511511571770671
emissionprobs	2	4	h3k4me3	1	0.8948848842822933
emissionprobs	2	5	h3k9me3	0	0.9809297939860726
emissionprobs	2	5	h3k9me3	1	0.019070206013927445
emissionprobs	3	0	h3k27ac	0	0.11196734833985171
emissionprobs	3	0	h3k27ac	1	0.8880326516601483
emissionprobs	3	1	h3k27me3	0	0.9966995899157501
emissionprobs	3	1	h3k27me3	1	0.003300410084249943
emissionprobs	3	2	h3k36me3	0	0.7329403406492621
emissionprobs	3	2	h3k36me3	1	0.26705965935073794
emissionprobs	3	3	h3k4me1	0	0.16811902031055825
emissionprobs	3	3	h3k4me1	1	0.8318809796894416
emissionprobs	3	4	h3k4me3	0	0.5849356080316112
emissionprobs	3	4	h3k4me3	1	0.41506439196838885
emissionprobs	3	5	h3k9me3	0	0.9789304169964935
emissionprobs	3	5	h3k9me3	1	0.02106958300350649
emissionprobs	4	0	h3k27ac	0	0.6170107892975605
emissionprobs	4	0	h3k27ac	1	0.3829892107024396
emissionprobs	4	1	h3k27me3	0	0.8954034760527297
emissionprobs	4	1	h3k27me3	1	0.10459652394727023
emissionprobs	4	2	h3k36me3	0	0.9081667906645474
emissionprobs	4	2	h3k36me3	1	0.09183320933545264
emissionprobs	4	3	h3k4me1	0	0.6731229991748269
emissionprobs	4	3	h3k4me1	1	0.32687700082517307
emissionprobs	4	4	h3k4me3	0	0.935278588730314
emissionprobs	4	4	h3k4me3	1	0.0647214112696859
emissionprobs	4	5	h3k9me3	0	0.9716816242283586
emissionprobs	4	5	h3k9me3	1	0.02831837577164136
emissionprobs	5	0	h3k27ac	0	0.7335311600648052
emissionprobs	5	0	h3k27ac	1	0.2664688399351948
emissionprobs	5	1	h3k27me3	0	0.9973353435766178
emissionprobs	5	1	h3k27me3	1	0.0026646564233820725
emissionprobs	5	2	h3k36me3	0	0.9198669228486249
emissionprobs	5	2	h3k36me3	1	0.08013307715137499
emissionprobs	5	3	h3k4me1	0	0.15389396340865344
emissionprobs	5	3	h3k4me1	1	0.8461060365913465
emissionprobs	5	4	h3k4me3	0	0.8430239850603721
emissionprobs	5	4	h3k4me3	1	0.15697601493962787
emissionprobs	5	5	h3k9me3	0	0.9950150999994706
emissionprobs	5	5	h3k9me3	1	0.004984900000529347
emissionprobs	6	0	h3k27ac	0	0.9519786965611863
emissionprobs	6	0	h3k27ac	1	0.04802130343881369
emissionprobs	6	1	h3k27me3	0	0.9965127800179083
emissionprobs	6	1	h3k27me3	1	0.003487219982091687
emissionprobs	6	2	h3k36me3	0	0.9673572657786688
emissionprobs	6	2	h3k36me3	1	0.03264273422133123
emissionprobs	6	3	h3k4me1	0	0.7529485432762703
emissionprobs	6	3	h3k4me1	1	0.24705145672372975
emissionprobs	6	4	h3k4me3	0	0.989651052839574
emissionprobs	6	4	h3k4me3	1	0.010348947160426046
emissionprobs	6	5	h3k9me3	0	0.9932810473355331
emissionprobs	6	5	h3k9me3	1	0.006718952664466814
emissionprobs	7	0	h3k27ac	0	0.9866692595675064
emissionprobs	7	0	h3k27ac	1	0.013330740432493613
emissionprobs	7	1	h3k27me3	0	0.9933283131798262
emissionprobs	7	1	h3k27me3	1	0.006671686820173784
emissionprobs	7	2	h3k36me3	0	0.9856932223058512
emissionprobs	7	2	h3k36me3	1	0.01430677769414873
emissionprobs	7	3	h3k4me1	0	0.9732962190032396
emissionprobs	7	3	h3k4me1	1	0.026703780996760386
emissionprobs	7	4	h3k4me3	0	0.9896189123298121
emissionprobs	7	4	h3k4me3	1	0.010381087670187798
emissionprobs	7	5	h3k9me3	0	0.9926189705055077
emissionprobs	7	5	h3k9me3	1	0.007381029494492209
emissionprobs	8	0	h3k27ac	0	0.806728708023961
emissionprobs	8	0	h3k27ac	1	0.1932712919760389
emissionprobs	8	1	h3k27me3	0	0.9976624162976387
emissionprobs	8	1	h3k27me3	1	0.0023375837023613903
emissionprobs	8	2	h3k36me3	0	0.146058446842628
emissionprobs	8	2	h3k36me3	1	0.8539415531573719
emissionprobs	8	3	h3k4me1	0	0.4731212957811428
emissionprobs	8	3	h3k4me1	1	0.5268787042188573
emissionprobs	8	4	h3k4me3	0	0.900055507195811
emissionprobs	8	4	h3k4me3	1	0.09994449280418896
emissionprobs	8	5	h3k9me3	0	0.986351364491269
emissionprobs	8	5	h3k9me3	1	0.013648635508730923
emissionprobs	9	0	h3k27ac	0	0.9697724579118474
emissionprobs	9	0	h3k27ac	1	0.03022754208815262
emissionprobs	9	1	h3k27me3	0	0.9965085521725083
emissionprobs	9	1	h3k27me3	1	0.0034914478274916706
emissionprobs	9	2	h3k36me3	0	0.3498077075275906
emissionprobs	9	2	h3k36me3	1	0.6501922924724094
emissionprobs	9	3	h3k4me1	0	0.9547785844570486
emissionprobs	9	3	h3k4me1	1	0.04522141554295149
emissionprobs	9	4	h3k4me3	0	0.981306361993237
emissionprobs	9	4	h3k4me3	1	0.018693638006763057
emissionprobs	9	5	h3k9me3	0	0.9935038760850866
emissionprobs	9	5	h3k9me3	1	0.006496123914913373
emissionprobs	10	0	h3k27ac	0	0.9975530987649093
emissionprobs	10	0	h3k27ac	1	0.002446901235090667
emissionprobs	10	1	h3k27me3	0	0.420329375467753
emissionprobs	10	1	h3k27me3	1	0.5796706245322469
emissionprobs	10	2	h3k36me3	0	0.9925302001964142
emissionprobs	10	2	h3k36me3	1	0.00746979980358574
emissionprobs	10	3	h3k4me1	0	0.9889864477734044
emissionprobs	10	3	h3k4me1	1	0.011013552226595598
emissionprobs	10	4	h3k4me3	0	0.9962332675022109
emissionprobs	10	4	h3k4me3	1	0.003766732497789175
emissionprobs	10	5	h3k9me3	0	0.8541145965761564
emissionprobs	10	5	h3k9me3	1	0.14588540342384362
emissionprobs	11	0	h3k27ac	0	0.9995839157262632
emissionprobs	11	0	h3k27ac	1	4.1608427373677684E-4
emissionprobs	11	1	h3k27me3	0	0.9067964418161814
emissionprobs	11	1	h3k27me3	1	0.09320355818381858
emissionprobs	11	2	h3k36me3	0	0.9979097039739357
emissionprobs	11	2	h3k36me3	1	0.00209029602606431
emissionprobs	11	3	h3k4me1	0	0.9984807133036366
emissionprobs	11	3	h3k4me1	1	0.001519286696363326
emissionprobs	11	4	h3k4me3	0	0.9986422338326992
emissionprobs	11	4	h3k4me3	1	0.0013577661673007618
emissionprobs	11	5	h3k9me3	0	0.94909540294846
emissionprobs	11	5	h3k9me3	1	0.050904597051540046
emissionprobs	12	0	h3k27ac	0	0.9992563216224262
emissionprobs	12	0	h3k27ac	1	7.436783775738305E-4
emissionprobs	12	1	h3k27me3	0	0.9926111653058773
emissionprobs	12	1	h3k27me3	1	0.007388834694122582
emissionprobs	12	2	h3k36me3	0	0.9996988280144546
emissionprobs	12	2	h3k36me3	1	3.0117198554540606E-4
emissionprobs	12	3	h3k4me1	0	0.9991166315499498
emissionprobs	12	3	h3k4me1	1	8.833684500502469E-4
emissionprobs	12	4	h3k4me3	0	0.9989227638168021
emissionprobs	12	4	h3k4me3	1	0.0010772361831977786
emissionprobs	12	5	h3k9me3	0	0.9936226176837114
emissionprobs	12	5	h3k9me3	1	0.006377382316288613
