12	6	E	-1739235.463653863	200
emissionprobs	1	4	h3k4me3	1	4.4473774446033437E-4
emissionprobs	1	5	h3k9me3	0	0.9977767053667359
emissionprobs	1	5	h3k9me3	1	0.0022232946332641132
emissionprobs	2	0	h3k27ac	0	0.9999860332322188
emissionprobs	2	0	h3k27ac	1	1.3966767781281943E-5
emissionprobs	2	1	h3k27me3	0	0.9492117326906546
emissionprobs	2	1	h3k27me3	1	0.05078826730934541
emissionprobs	2	2	h3k36me3	0	0.9997392610172929
emissionprobs	2	2	h3k36me3	1	2.6073898270707164E-4
emissionprobs	2	3	h3k4me1	0	0.999876212355279
emissionprobs	2	3	h3k4me1	1	1.2378764472109477E-4
emissionprobs	2	4	h3k4me3	0	0.9999257548777964
emissionprobs	2	4	h3k4me3	1	7.424512220350211E-5
emissionprobs	2	5	h3k9me3	0	0.9703415111618456
emissionprobs	2	5	h3k9me3	1	0.02965848883815438
emissionprobs	3	0	h3k27ac	0	0.9999954940014852
emissionprobs	3	0	h3k27ac	1	4.505998514734283E-6
emissionprobs	3	1	h3k27me3	0	0.9995808699644885
emissionprobs	3	1	h3k27me3	1	4.191300355115467E-4
emissionprobs	3	2	h3k36me3	0	0.9998657350273997
emissionprobs	3	2	h3k36me3	1	1.3426497260026109E-4
emissionprobs	3	3	h3k4me1	0	0.9999302725439573
emissionprobs	3	3	h3k4me1	1	6.972745604264738E-5
emissionprobs	3	4	h3k4me3	0	0.9999509570487373
emissionprobs	3	4	h3k4me3	1	4.904295126270284E-5
emissionprobs	3	5	h3k9me3	0	0.9982133631988469
emissionprobs	3	5	h3k9me3	1	0.001786636801153191
emissionprobs	4	0	h3k27ac	0	0.9999919769393427
emissionprobs	4	0	h3k27ac	1	8.023060657362582E-6
emissionprobs	4	1	h3k27me3	0	0.9988169951417494
emissionprobs	4	1	h3k27me3	1	0.0011830048582505439
emissionprobs	4	2	h3k36me3	0	0.9998502534137128
emissionprobs	4	2	h3k36me3	1	1.4974658628716113E-4
emissionprobs	4	3	h3k4me1	0	0.9999730665492595
emissionprobs	4	3	h3k4me1	1	2.693345074052585E-5
emissionprobs	4	4	h3k4me3	0	0.9999729561158959
emissionprobs	4	4	h3k4me3	1	2.704388410419034E-5
emissionprobs	4	5	h3k9me3	0	0.9874391361360448
emissionprobs	4	5	h3k9me3	1	0.012560863863955236
emissionprobs	5	0	h3k27ac	0	0.999908191814295
emissionprobs	5	0	h3k27ac	1	9.180818570496593E-5
emissionprobs	5	1	h3k27me3	0	0.98733917965257
emissionprobs	5	1	h3k27me3	1	0.01266082034742999
emissionprobs	5	2	h3k36me3	0	0.9995371697051816
emissionprobs	5	2	h3k36me3	1	4.6283029481836467E-4
emissionprobs	5	3	h3k4me1	0	0.9998018285365239
emissionprobs	5	3	h3k4me1	1	1.9817146347612531E-4
emissionprobs	5	4	h3k4me3	0	0.9998638348594886
emissionprobs	5	4	h3k4me3	1	1.361651405113197E-4
emissionprobs	5	5	h3k9me3	0	0.7787887448405952
emissionprobs	5	5	h3k9me3	1	0.2212112551594047
emissionprobs	6	0	h3k27ac	0	0.9998726792202212
emissionprobs	6	0	h3k27ac	1	1.2732077977876897E-4
emissionprobs	6	1	h3k27me3	0	0.9998488478065417
emissionprobs	6	1	h3k27me3	1	1.5115219345831783E-4
emissionprobs	6	2	h3k36me3	0	0.9981661963508366
emissionprobs	6	2	h3k36me3	1	0.001833803649163416
emissionprobs	6	3	h3k4me1	0	0.999999382840977
emissionprobs	6	3	h3k4me1	1	6.171590229612478E-7
emissionprobs	6	4	h3k4me3	0	0.9992949821622252
emissionprobs	6	4	h3k4me3	1	7.050178377747741E-4
emissionprobs	6	5	h3k9me3	0	0.998467381132303
emissionprobs	6	5	h3k9me3	1	0.001532618867696905
emissionprobs	7	0	h3k27ac	0	0.9995501402589074
emissionprobs	7	0	h3k27ac	1	4.498597410926109E-4
emissionprobs	7	1	h3k27me3	0	1.0
emissionprobs	7	1	h3k27me3	1	6.716947249945383E-46
emissionprobs	7	2	h3k36me3	0	0.9820148951483733
emissionprobs	7	2	h3k36me3	1	0.01798510485162677
emissionprobs	7	3	h3k4me1	0	0.9958079407216017
emissionprobs	7	3	h3k4me1	1	0.004192059278398233
emissionprobs	7	4	h3k4me3	0	0.9990900587174838
emissionprobs	7	4	h3k4me3	1	9.099412825161513E-4
emissionprobs	7	5	h3k9me3	0	0.9994740217120656
emissionprobs	7	5	h3k9me3	1	5.25978287934441E-4
emissionprobs	8	0	h3k27ac	0	0.9989426142512863
emissionprobs	8	0	h3k27ac	1	0.0010573857487136977
emissionprobs	8	1	h3k27me3	0	0.999686657181889
emissionprobs	8	1	h3k27me3	1	3.133428181109829E-4
emissionprobs	8	2	h3k36me3	0	0.995542713795172
