12	6	E	-2640452.3753276262	200
emissionprobs	1	3	h3k4me1	0	0.9631683839594848
emissionprobs	1	3	h3k4me1	1	0.036831616040515165
emissionprobs	1	4	h3k4me3	0	0.9844751653077815
emissionprobs	1	4	h3k4me3	1	0.015524834692218461
emissionprobs	1	5	h3k9me3	0	0.9899629221947884
emissionprobs	1	5	h3k9me3	1	0.010037077805211573
emissionprobs	2	0	h3k27ac	0	0.9145633591813216
emissionprobs	2	0	h3k27ac	1	0.0854366408186784
emissionprobs	2	1	h3k27me3	0	0.9994487745696444
emissionprobs	2	1	h3k27me3	1	5.512254303555092E-4
emissionprobs	2	2	h3k36me3	0	0.9883115899867492
emissionprobs	2	2	h3k36me3	1	0.011688410013250905
emissionprobs	2	3	h3k4me1	0	0.9038916489427522
emissionprobs	2	3	h3k4me1	1	0.09610835105724781
emissionprobs	2	4	h3k4me3	0	0.9843726129622652
emissionprobs	2	4	h3k4me3	1	0.015627387037734825
emissionprobs	2	5	h3k9me3	0	0.9939558961561539
emissionprobs	2	5	h3k9me3	1	0.006044103843846224
emissionprobs	3	0	h3k27ac	0	0.9992375272165938
emissionprobs	3	0	h3k27ac	1	7.624727834061355E-4
emissionprobs	3	1	h3k27me3	0	0.9999999257914807
emissionprobs	3	1	h3k27me3	1	7.42085193836655E-8
emissionprobs	3	2	h3k36me3	0	0.9973266211102917
emissionprobs	3	2	h3k36me3	1	0.002673378889708362
emissionprobs	3	3	h3k4me1	0	0.08180071044961947
emissionprobs	3	3	h3k4me1	1	0.9181992895503807
emissionprobs	3	4	h3k4me3	0	0.991520322133568
emissionprobs	3	4	h3k4me3	1	0.008479677866431999
emissionprobs	3	5	h3k9me3	0	0.999615913003456
emissionprobs	3	5	h3k9me3	1	3.840869965439459E-4
emissionprobs	4	0	h3k27ac	0	0.997519729204427
emissionprobs	4	0	h3k27ac	1	0.002480270795573082
emissionprobs	4	1	h3k27me3	0	0.9967368644517844
emissionprobs	4	1	h3k27me3	1	0.0032631355482155102
emissionprobs	4	2	h3k36me3	0	0.9967954995379439
emissionprobs	4	2	h3k36me3	1	0.003204500462056146
emissionprobs	4	3	h3k4me1	0	0.49770267783179484
emissionprobs	4	3	h3k4me1	1	0.5022973221682052
emissionprobs	4	4	h3k4me3	0	0.9938285424559266
emissionprobs	4	4	h3k4me3	1	0.006171457544073509
emissionprobs	4	5	h3k9me3	0	0.9908098389637797
emissionprobs	4	5	h3k9me3	1	0.009190161036220224
emissionprobs	5	0	h3k27ac	0	0.9984767609969899
emissionprobs	5	0	h3k27ac	1	0.0015232390030101412
emissionprobs	5	1	h3k27me3	0	0.998865720105806
emissionprobs	5	1	h3k27me3	1	0.0011342798941940968
emissionprobs	5	2	h3k36me3	0	0.9972678610127479
emissionprobs	5	2	h3k36me3	1	0.0027321389872521917
emissionprobs	5	3	h3k4me1	0	0.9930942672069081
emissionprobs	5	3	h3k4me1	1	0.006905732793091941
emissionprobs	5	4	h3k4me3	0	0.9941199261603835
emissionprobs	5	4	h3k4me3	1	0.005880073839616621
emissionprobs	5	5	h3k9me3	0	0.9949399936723141
emissionprobs	5	5	h3k9me3	1	0.005060006327685784
emissionprobs	6	0	h3k27ac	0	0.9999344325024296
emissionprobs	6	0	h3k27ac	1	6.556749757036675E-5
emissionprobs	6	1	h3k27me3	0	0.9994657123267259
emissionprobs	6	1	h3k27me3	1	5.342876732741701E-4
emissionprobs	6	2	h3k36me3	0	0.9991526590510675
emissionprobs	6	2	h3k36me3	1	8.473409489323993E-4
emissionprobs	6	3	h3k4me1	0	0.998997643473908
emissionprobs	6	3	h3k4me1	1	0.0010023565260919793
emissionprobs	6	4	h3k4me3	0	0.9986241970911216
emissionprobs	6	4	h3k4me3	1	0.0013758029088784575
emissionprobs	6	5	h3k9me3	0	0.9972017462546882
emissionprobs	6	5	h3k9me3	1	0.0027982537453117955
emissionprobs	7	0	h3k27ac	0	0.9997553299447367
emissionprobs	7	0	h3k27ac	1	2.4467005526327963E-4
emissionprobs	7	1	h3k27me3	0	0.9824649343540063
emissionprobs	7	1	h3k27me3	1	0.01753506564599377
emissionprobs	7	2	h3k36me3	0	0.9966324252830178
emissionprobs	7	2	h3k36me3	1	0.003367574716982173
emissionprobs	7	3	h3k4me1	0	0.9952598932703428
emissionprobs	7	3	h3k4me1	1	0.004740106729657263
emissionprobs	7	4	h3k4me3	0	0.9981190538252338
emissionprobs	7	4	h3k4me3	1	0.0018809461747662218
emissionprobs	7	5	h3k9me3	0	0.7746115359019792
emissionprobs	7	5	h3k9me3	1	0.22538846409802074
emissionprobs	8	0	h3k27ac	0	0.9999692811903406
emissionprobs	8	0	h3k27ac	1	3.071880965952516E-5
emissionprobs	8	1	h3k27me3	0	0.9965588613720651
emissionprobs	8	1	h3k27me3	1	0.0034411386279348927
emissionprobs	8	2	h3k36me3	0	0.9985094884178155
emissionprobs	8	2	h3k36me3	1	0.0014905115821845002
emissionprobs	8	3	h3k4me1	0	0.9987592376066929
emissionprobs	8	3	h3k4me1	1	0.0012407623933070589
emissionprobs	8	4	h3k4me3	0	0.9988506297370194
emissionprobs	8	4	h3k4me3	1	0.0011493702629805623
emissionprobs	8	5	h3k9me3	0	0.9860294917527226
emissionprobs	8	5	h3k9me3	1	0.013970508247277373
emissionprobs	9	0	h3k27ac	0	0.9999323497460884
emissionprobs	9	0	h3k27ac	1	6.765025391164014E-5
emissionprobs	9	1	h3k27me3	0	0.8597400332952161
emissionprobs	9	1	h3k27me3	1	0.14025996670478383
emissionprobs	9	2	h3k36me3	0	0.9979726779185615
emissionprobs	9	2	h3k36me3	1	0.0020273220814385293
emissionprobs	9	3	h3k4me1	0	0.9938345628814593
emissionprobs	9	3	h3k4me1	1	0.006165437118540578
emissionprobs	9	4	h3k4me3	0	0.9985951187978608
emissionprobs	9	4	h3k4me3	1	0.0014048812021392211
emissionprobs	9	5	h3k9me3	0	0.9679782859869234
emissionprobs	9	5	h3k9me3	1	0.03202171401307665
emissionprobs	10	0	h3k27ac	0	0.9997420670705208
emissionprobs	10	0	h3k27ac	1	2.5793292947926016E-4
emissionprobs	10	1	h3k27me3	0	0.8615361448231038
emissionprobs	10	1	h3k27me3	1	0.1384638551768961
emissionprobs	10	2	h3k36me3	0	0.9984995265753636
emissionprobs	10	2	h3k36me3	1	0.0015004734246364508
emissionprobs	10	3	h3k4me1	0	0.9954225738789773
emissionprobs	10	3	h3k4me1	1	0.004577426121022767
emissionprobs	10	4	h3k4me3	0	0.9966491616668575
emissionprobs	10	4	h3k4me3	1	0.00335083833314258
emissionprobs	10	5	h3k9me3	0	0.9946912794985324
emissionprobs	10	5	h3k9me3	1	0.005308720501467603
emissionprobs	11	0	h3k27ac	0	0.9981651988576826
emissionprobs	11	0	h3k27ac	1	0.001834801142317299
emissionprobs	11	1	h3k27me3	0	0.9996692543720224
emissionprobs	11	1	h3k27me3	1	3.3074562797766934E-4
emissionprobs	11	2	h3k36me3	0	0.5077423416331364
