12	6	E	-2351435.3322210093	200
emissionprobs	1	5	h3k9me3	1	0.002059815131644316
emissionprobs	2	0	h3k27ac	0	0.982121892749994
emissionprobs	2	0	h3k27ac	1	0.017878107250006103
emissionprobs	2	1	h3k27me3	0	0.9992504053535094
emissionprobs	2	1	h3k27me3	1	7.495946464907056E-4
emissionprobs	2	2	h3k36me3	0	0.9473567693379528
emissionprobs	2	2	h3k36me3	1	0.05264323066204718
emissionprobs	2	3	h3k4me1	0	0.7178170922322631
emissionprobs	2	3	h3k4me1	1	0.28218290776773697
emissionprobs	2	4	h3k4me3	0	0.9666428944516197
emissionprobs	2	4	h3k4me3	1	0.033357105548380304
emissionprobs	2	5	h3k9me3	0	0.9969278768687724
emissionprobs	2	5	h3k9me3	1	0.0030721231312276047
emissionprobs	3	0	h3k27ac	0	0.9893813020208126
emissionprobs	3	0	h3k27ac	1	0.010618697979187314
emissionprobs	3	1	h3k27me3	0	0.9999772401299714
emissionprobs	3	1	h3k27me3	1	2.2759870028619905E-5
emissionprobs	3	2	h3k36me3	0	0.8920887479886793
emissionprobs	3	2	h3k36me3	1	0.10791125201132062
emissionprobs	3	3	h3k4me1	0	0.8126696112794695
emissionprobs	3	3	h3k4me1	1	0.18733038872053048
emissionprobs	3	4	h3k4me3	0	0.9968549588083625
emissionprobs	3	4	h3k4me3	1	0.0031450411916375148
emissionprobs	3	5	h3k9me3	0	0.9986069368800127
emissionprobs	3	5	h3k9me3	1	0.0013930631199873327
emissionprobs	4	0	h3k27ac	0	0.9940318551614451
emissionprobs	4	0	h3k27ac	1	0.005968144838555016
emissionprobs	4	1	h3k27me3	0	0.9999012214689013
emissionprobs	4	1	h3k27me3	1	9.877853109878798E-5
emissionprobs	4	2	h3k36me3	0	0.9228895889928685
emissionprobs	4	2	h3k36me3	1	0.07711041100713141
emissionprobs	4	3	h3k4me1	0	0.9985136160028011
emissionprobs	4	3	h3k4me1	1	0.0014863839971989761
emissionprobs	4	4	h3k4me3	0	0.9992686505964566
emissionprobs	4	4	h3k4me3	1	7.313494035433678E-4
emissionprobs	4	5	h3k9me3	0	0.9988954530723186
emissionprobs	4	5	h3k9me3	1	0.0011045469276812735
emissionprobs	5	0	h3k27ac	0	0.9946070282432402
emissionprobs	5	0	h3k27ac	1	0.0053929717567597945
emissionprobs	5	1	h3k27me3	0	0.998202307194933
emissionprobs	5	1	h3k27me3	1	0.0017976928050669372
emissionprobs	5	2	h3k36me3	0	0.726206647280133
emissionprobs	5	2	h3k36me3	1	0.27379335271986704
emissionprobs	5	3	h3k4me1	0	0.9999999735114055
emissionprobs	5	3	h3k4me1	1	2.6488594564105192E-8
emissionprobs	5	4	h3k4me3	0	0.9997032453714021
emissionprobs	5	4	h3k4me3	1	2.967546285979282E-4
emissionprobs	5	5	h3k9me3	0	0.9944539636982244
emissionprobs	5	5	h3k9me3	1	0.0055460363017755705
emissionprobs	6	0	h3k27ac	0	0.9940975279002894
emissionprobs	6	0	h3k27ac	1	0.005902472099710665
emissionprobs	6	1	h3k27me3	0	0.9992226838649926
emissionprobs	6	1	h3k27me3	1	7.773161350074237E-4
emissionprobs	6	2	h3k36me3	0	0.9920092749476735
emissionprobs	6	2	h3k36me3	1	0.007990725052326569
emissionprobs	6	3	h3k4me1	0	0.9987649864056278
emissionprobs	6	3	h3k4me1	1	0.0012350135943722156
emissionprobs	6	4	h3k4me3	0	0.9993297420130359
emissionprobs	6	4	h3k4me3	1	6.702579869639325E-4
emissionprobs	6	5	h3k9me3	0	0.9982776994024865
emissionprobs	6	5	h3k9me3	1	0.0017223005975134996
emissionprobs	7	0	h3k27ac	0	0.9979024319879612
emissionprobs	7	0	h3k27ac	1	0.0020975680120387166
emissionprobs	7	1	h3k27me3	0	0.9992656241824618
emissionprobs	7	1	h3k27me3	1	7.343758175381879E-4
emissionprobs	7	2	h3k36me3	0	0.9995274403711437
emissionprobs	7	2	h3k36me3	1	4.725596288563433E-4
emissionprobs	7	3	h3k4me1	0	0.9999254097669401
emissionprobs	7	3	h3k4me1	1	7.459023305989509E-5
emissionprobs	7	4	h3k4me3	0	0.9999619497490381
emissionprobs	7	4	h3k4me3	1	3.805025096203332E-5
