State (Emission order)	h3k27me3	h3k9me3	h3k4me3	h3k27ac	h3k4me1	h3k36me3
1	2.608637085713646E-4	0.004781357939236123	0.2352940976460756	0.0077022697584139856	0.007040067606194942	0.032027840209109454
2	7.339939883006334E-4	0.002541405141279641	0.10809913354918613	0.03177365892355787	0.23627605552001057	0.05318658608632574
3	1.2732268312784514E-4	0.0010704421584487008	0.004755383603987888	0.0023357402102684066	0.05760807229459384	0.01851206857978434
4	6.460942622522406E-9	8.459167879927539E-4	0.0014453822699602168	0.005785007950307203	0.2982104183952893	0.037839650083654953
5	7.389028610195351E-4	0.001861979624702362	0.0014915595961114965	0.0030408861099928035	0.1355684180151119	0.007422029475571411
6	1.0624021571827512E-4	9.279815470414766E-4	0.012634914793969838	0.0038248138894960795	0.051758492426988295	0.13784133350341055
7	5.2090140800266714E-5	4.934582310787066E-4	0.0011128172130059713	1.8832681938802284E-4	0.002270241748927884	0.038650606477944785
8	5.720139994517506E-4	9.011415526984083E-4	7.542075157170057E-4	7.514063157612148E-5	9.595513004137349E-5	0.00555389883211718
9	0.0037871456439460926	0.014887846639739464	0.0014602303918973087	1.2746356301125453E-4	3.915047478501172E-4	0.075266731938715
10	3.2651187648076094E-4	7.84998246686586E-4	5.64690337737171E-5	1.905163881325224E-6	3.491269678294746E-5	4.240691537838266E-4
11	0.0017434412355604397	0.01002782238760517	1.0252289008605078E-4	4.596538780129101E-6	4.167272100428639E-5	0.0011076578639828182
12	0.568852458283126	0.25752478023346825	7.236992065569225E-4	4.5221664415912887E-69	3.6774154179979794E-4	8.919538898260996E-4
