State (Emission order)	h3k27me3	h3k9me3	h3k4me3	h3k27ac	h3k4me1	h3k36me3
1	0.035594578806331094	0.0022232946332641132	4.4473774446033437E-4	1.0317897480566609E-4	9.439184998199766E-4	7.77457904865352E-4
2	0.05078826730934541	0.02965848883815438	7.424512220350211E-5	1.3966767781281943E-5	1.2378764472109477E-4	2.6073898270707164E-4
3	4.191300355115467E-4	0.001786636801153191	4.904295126270284E-5	4.505998514734283E-6	6.972745604264738E-5	1.3426497260026109E-4
4	0.0011830048582505439	0.012560863863955236	2.704388410419034E-5	8.023060657362582E-6	2.693345074052585E-5	1.4974658628716113E-4
5	0.01266082034742999	0.2212112551594047	1.361651405113197E-4	9.180818570496593E-5	1.9817146347612531E-4	4.6283029481836467E-4
6	1.5115219345831783E-4	0.001532618867696905	7.050178377747741E-4	1.2732077977876897E-4	6.171590229612478E-7	0.001833803649163416
7	6.716947249945383E-46	5.25978287934441E-4	9.099412825161513E-4	4.498597410926109E-4	0.004192059278398233	0.01798510485162677
8	3.133428181109829E-4	0.0015291868986388722	0.0025388922837853815	0.0010573857487136977	0.005332607017676847	0.004457286204827986
9	2.3068834106923053E-4	0.001004786200677406	0.003285700448077382	0.002703483976800363	0.2640146054026507	0.007294038195430845
10	0.0033283509808528216	0.003749161764360621	0.0010252204759137501	0.004601617495186379	0.1988853091695777	0.00143752444083419
11	7.983695530065707E-4	0.0050629863003634045	0.04496540987251483	0.06489845738820127	0.2399338582186354	0.00979346761736832
12	0.0014421284198053118	0.00847400680368259	0.18375055822556902	0.015290751048049486	0.012735361739976733	0.004563553509042515
