12	6	E	-1473431.6507931014	200
emissionprobs	1	5	h3k9me3	0	0.9998368629969423
emissionprobs	1	5	h3k9me3	1	1.6313700305764956E-4
emissionprobs	2	0	h3k27ac	0	0.9996654959930943
emissionprobs	2	0	h3k27ac	1	3.3450400690567233E-4
emissionprobs	2	1	h3k27me3	0	0.9995108974490652
emissionprobs	2	1	h3k27me3	1	4.891025509347513E-4
emissionprobs	2	2	h3k36me3	0	0.9979355093616794
emissionprobs	2	2	h3k36me3	1	0.0020644906383206272
emissionprobs	2	3	h3k4me1	0	0.9999892203509141
emissionprobs	2	3	h3k4me1	1	1.0779649085892387E-5
emissionprobs	2	4	h3k4me3	0	0.9992109356275568
emissionprobs	2	4	h3k4me3	1	7.890643724431915E-4
emissionprobs	2	5	h3k9me3	0	0.9998603739911747
emissionprobs	2	5	h3k9me3	1	1.3962600882536398E-4
emissionprobs	3	0	h3k27ac	0	0.9995410508012725
emissionprobs	3	0	h3k27ac	1	4.5894919872756663E-4
emissionprobs	3	1	h3k27me3	0	0.9998548692916824
emissionprobs	3	1	h3k27me3	1	1.451307083175895E-4
emissionprobs	3	2	h3k36me3	0	0.975583985088602
emissionprobs	3	2	h3k36me3	1	0.024416014911397915
emissionprobs	3	3	h3k4me1	0	0.9975848189417652
emissionprobs	3	3	h3k4me1	1	0.002415181058234765
emissionprobs	3	4	h3k4me3	0	0.9991039474612093
emissionprobs	3	4	h3k4me3	1	8.960525387906915E-4
emissionprobs	3	5	h3k9me3	0	0.9999466642524829
emissionprobs	3	5	h3k9me3	1	5.3335747517054254E-5
emissionprobs	4	0	h3k27ac	0	0.9970627836707164
emissionprobs	4	0	h3k27ac	1	0.0029372163292835703
emissionprobs	4	1	h3k27me3	0	0.9998572916022478
emissionprobs	4	1	h3k27me3	1	1.4270839775207066E-4
emissionprobs	4	2	h3k36me3	0	0.9912886445254288
emissionprobs	4	2	h3k36me3	1	0.008711355474571214
emissionprobs	4	3	h3k4me1	0	0.9797526119556351
emissionprobs	4	3	h3k4me1	1	0.020247388044364937
emissionprobs	4	4	h3k4me3	0	0.9966791813540647
emissionprobs	4	4	h3k4me3	1	0.0033208186459353036
emissionprobs	4	5	h3k9me3	0	0.9998818351348213
emissionprobs	4	5	h3k9me3	1	1.1816486517875666E-4
emissionprobs	5	0	h3k27ac	0	0.9910210905521819
emissionprobs	5	0	h3k27ac	1	0.008978909447818094
emissionprobs	5	1	h3k27me3	0	0.9993415421901561
emissionprobs	5	1	h3k27me3	1	6.584578098437542E-4
emissionprobs	5	2	h3k36me3	0	0.9838445784830034
emissionprobs	5	2	h3k36me3	1	0.016155421516996532
emissionprobs	5	3	h3k4me1	0	0.7763064409460544
emissionprobs	5	3	h3k4me1	1	0.22369355905394564
emissionprobs	5	4	h3k4me3	0	0.9888562310468576
emissionprobs	5	4	h3k4me3	1	0.011143768953142449
emissionprobs	5	5	h3k9me3	0	1.0
emissionprobs	5	5	h3k9me3	1	2.704263016215921E-28
emissionprobs	6	0	h3k27ac	0	0.9949664085895348
emissionprobs	6	0	h3k27ac	1	0.005033591410465114
emissionprobs	6	1	h3k27me3	0	0.9988513558423058
emissionprobs	6	1	h3k27me3	1	0.0011486441576942369
emissionprobs	6	2	h3k36me3	0	0.9981620879284884
emissionprobs	6	2	h3k36me3	1	0.0018379120715115787
emissionprobs	6	3	h3k4me1	0	0.8797438878894214
emissionprobs	6	3	h3k4me1	1	0.12025611211057861
emissionprobs	6	4	h3k4me3	0	0.9990857312426714
emissionprobs	6	4	h3k4me3	1	9.142687573286206E-4
emissionprobs	6	5	h3k9me3	0	0.9998867093658138
emissionprobs	6	5	h3k9me3	1	1.1329063418620307E-4
emissionprobs	7	0	h3k27ac	0	0.7963326833987396
emissionprobs	7	0	h3k27ac	1	0.2036673166012604
emissionprobs	7	1	h3k27me3	0	0.9972516873293031
emissionprobs	7	1	h3k27me3	1	0.002748312670696958
emissionprobs	7	2	h3k36me3	0	0.9868203132513738
emissionprobs	7	2	h3k36me3	1	0.013179686748626308
emissionprobs	7	3	h3k4me1	0	0.881788684728191
emissionprobs	7	3	h3k4me1	1	0.118211315271809
emissionprobs	7	4	h3k4me3	0	0.9567859548200195
emissionprobs	7	4	h3k4me3	1	0.04321404517998057
emissionprobs	7	5	h3k9me3	0	0.9997297916430947
