12	6	E	-2869701.0750523657	200
emissionprobs	1	3	h3k4me1	0	0.9752939090170561
emissionprobs	1	3	h3k4me1	1	0.024706090982943747
emissionprobs	1	4	h3k4me3	0	0.8878805776825627
emissionprobs	1	4	h3k4me3	1	0.11211942231743731
emissionprobs	1	5	h3k9me3	0	0.998588627391687
emissionprobs	1	5	h3k9me3	1	0.0014113726083130954
emissionprobs	2	0	h3k27ac	0	0.9997753520355451
emissionprobs	2	0	h3k27ac	1	2.2464796445490357E-4
emissionprobs	2	1	h3k27me3	0	0.9957436474658228
emissionprobs	2	1	h3k27me3	1	0.004256352534177242
emissionprobs	2	2	h3k36me3	0	0.9961792154182333
emissionprobs	2	2	h3k36me3	1	0.003820784581766661
emissionprobs	2	3	h3k4me1	0	0.9967061069976189
emissionprobs	2	3	h3k4me1	1	0.0032938930023811
emissionprobs	2	4	h3k4me3	0	0.9945393192467437
emissionprobs	2	4	h3k4me3	1	0.005460680753256235
emissionprobs	2	5	h3k9me3	0	0.9986015462925268
emissionprobs	2	5	h3k9me3	1	0.0013984537074731114
emissionprobs	3	0	h3k27ac	0	0.9999811761834888
emissionprobs	3	0	h3k27ac	1	1.8823816511165987E-5
emissionprobs	3	1	h3k27me3	0	0.9975519966539161
emissionprobs	3	1	h3k27me3	1	0.002448003346083902
emissionprobs	3	2	h3k36me3	0	0.9996045462313571
emissionprobs	3	2	h3k36me3	1	3.9545376864296854E-4
emissionprobs	3	3	h3k4me1	0	0.999941137393435
emissionprobs	3	3	h3k4me1	1	5.8862606564946945E-5
emissionprobs	3	4	h3k4me3	0	0.9993478603197374
emissionprobs	3	4	h3k4me3	1	6.521396802626188E-4
emissionprobs	3	5	h3k9me3	0	0.9993174205272941
emissionprobs	3	5	h3k9me3	1	6.825794727058882E-4
emissionprobs	4	0	h3k27ac	0	0.9999910978767528
emissionprobs	4	0	h3k27ac	1	8.902123247243868E-6
emissionprobs	4	1	h3k27me3	0	0.9932081716326683
emissionprobs	4	1	h3k27me3	1	0.006791828367331756
emissionprobs	4	2	h3k36me3	0	0.9989613591876332
emissionprobs	4	2	h3k36me3	1	0.0010386408123668081
emissionprobs	4	3	h3k4me1	0	0.9997678281971845
emissionprobs	4	3	h3k4me1	1	2.32171802815529E-4
emissionprobs	4	4	h3k4me3	0	0.9988078130500223
emissionprobs	4	4	h3k4me3	1	0.0011921869499776064
emissionprobs	4	5	h3k9me3	0	0.9970695111119532
emissionprobs	4	5	h3k9me3	1	0.002930488888046818
emissionprobs	5	0	h3k27ac	0	0.9991624494825374
emissionprobs	5	0	h3k27ac	1	8.37550517462585E-4
emissionprobs	5	1	h3k27me3	0	0.9457717426733679
emissionprobs	5	1	h3k27me3	1	0.05422825732663206
emissionprobs	5	2	h3k36me3	0	0.9916697822063013
emissionprobs	5	2	h3k36me3	1	0.00833021779369866
emissionprobs	5	3	h3k4me1	0	0.9932969418440285
emissionprobs	5	3	h3k4me1	1	0.006703058155971542
emissionprobs	5	4	h3k4me3	0	0.9952728989534771
emissionprobs	5	4	h3k4me3	1	0.00472710104652286
emissionprobs	5	5	h3k9me3	0	0.9910986368074952
emissionprobs	5	5	h3k9me3	1	0.008901363192504778
emissionprobs	6	0	h3k27ac	0	1.0
emissionprobs	6	0	h3k27ac	1	2.241014293825583E-39
emissionprobs	6	1	h3k27me3	0	0.1767512229140089
emissionprobs	6	1	h3k27me3	1	0.8232487770859912
emissionprobs	6	2	h3k36me3	0	0.9981564576363763
emissionprobs	6	2	h3k36me3	1	0.0018435423636237163
emissionprobs	6	3	h3k4me1	0	0.9995768217847101
emissionprobs	6	3	h3k4me1	1	4.2317821528995835E-4
emissionprobs	6	4	h3k4me3	0	0.9981588114533929
emissionprobs	6	4	h3k4me3	1	0.0018411885466070612
emissionprobs	6	5	h3k9me3	0	0.9695360384183548
