12	6	E	-2019796.0264026641	200
emissionprobs	1	3	h3k4me1	0	0.9973112628700994
emissionprobs	1	3	h3k4me1	1	0.0026887371299005778
emissionprobs	1	4	h3k4me3	0	0.9653255403006143
emissionprobs	1	4	h3k4me3	1	0.034674459699385644
emissionprobs	1	5	h3k9me3	0	0.9928499050627347
emissionprobs	1	5	h3k9me3	1	0.007150094937265265
emissionprobs	2	0	h3k27ac	0	0.9984910088130092
emissionprobs	2	0	h3k27ac	1	0.0015089911869908025
emissionprobs	2	1	h3k27me3	0	0.938578829982374
emissionprobs	2	1	h3k27me3	1	0.06142117001762604
emissionprobs	2	2	h3k36me3	0	0.9950850572156945
emissionprobs	2	2	h3k36me3	1	0.004914942784305495
emissionprobs	2	3	h3k4me1	0	0.9974520986258554
emissionprobs	2	3	h3k4me1	1	0.0025479013741446154
emissionprobs	2	4	h3k4me3	0	0.9976902975926536
emissionprobs	2	4	h3k4me3	1	0.0023097024073464754
emissionprobs	2	5	h3k9me3	0	0.9822773132294679
emissionprobs	2	5	h3k9me3	1	0.017722686770532067
emissionprobs	3	0	h3k27ac	0	0.9999999888960297
emissionprobs	3	0	h3k27ac	1	1.110397020468952E-8
emissionprobs	3	1	h3k27me3	0	0.5054119410172466
emissionprobs	3	1	h3k27me3	1	0.49458805898275343
emissionprobs	3	2	h3k36me3	0	0.9968913276896144
emissionprobs	3	2	h3k36me3	1	0.0031086723103855565
emissionprobs	3	3	h3k4me1	0	0.999042341232462
emissionprobs	3	3	h3k4me1	1	9.576587675379179E-4
emissionprobs	3	4	h3k4me3	0	0.9992181233116274
emissionprobs	3	4	h3k4me3	1	7.818766883727054E-4
emissionprobs	3	5	h3k9me3	0	0.8086329999742874
emissionprobs	3	5	h3k9me3	1	0.1913670000257126
emissionprobs	4	0	h3k27ac	0	0.9999733662346071
emissionprobs	4	0	h3k27ac	1	2.6633765392968877E-5
emissionprobs	4	1	h3k27me3	0	0.9892591495119828
emissionprobs	4	1	h3k27me3	1	0.010740850488017178
emissionprobs	4	2	h3k36me3	0	0.9984652485343841
emissionprobs	4	2	h3k36me3	1	0.0015347514656159117
emissionprobs	4	3	h3k4me1	0	0.9995959896052667
emissionprobs	4	3	h3k4me1	1	4.040103947332279E-4
emissionprobs	4	4	h3k4me3	0	0.9991908494168376
emissionprobs	4	4	h3k4me3	1	8.091505831624822E-4
emissionprobs	4	5	h3k9me3	0	0.993589818929085
emissionprobs	4	5	h3k9me3	1	0.006410181070914966
emissionprobs	5	0	h3k27ac	0	0.9999506918966707
emissionprobs	5	0	h3k27ac	1	4.930810332930293E-5
emissionprobs	5	1	h3k27me3	0	0.9984206302257285
emissionprobs	5	1	h3k27me3	1	0.001579369774271639
emissionprobs	5	2	h3k36me3	0	0.9992447571055741
emissionprobs	5	2	h3k36me3	1	7.552428944259581E-4
emissionprobs	5	3	h3k4me1	0	0.9995951371184436
emissionprobs	5	3	h3k4me1	1	4.0486288155641465E-4
emissionprobs	5	4	h3k4me3	0	0.9993172646396272
emissionprobs	5	4	h3k4me3	1	6.827353603727555E-4
emissionprobs	5	5	h3k9me3	0	0.9976813695439455
emissionprobs	5	5	h3k9me3	1	0.0023186304560545096
emissionprobs	6	0	h3k27ac	0	1.0
emissionprobs	6	0	h3k27ac	1	1.0962396163314551E-20
